Speaker,Role,Statement,Sentiment Label,Confidence Rate,Sentiment Score,Emotion,Strategic Focus Areas
Suhasini Chandramouli,"Director, Investor Relations","Good afternoon, and welcome to the Apple Q1 Fiscal Year 2025 Earnings Conference Call.",Neutral,0.6658961772918701,0.30735430121421814,joy,Apple Q1 Fiscal Year
Suhasini Chandramouli,"Director, Investor Relations","My name is Suhasini Chandramouli, Director of Investor Relations.",Neutral,0.9335843324661255,0.000260278582572937,neutral,Investor Relations
Suhasini Chandramouli,"Director, Investor Relations",Today's call is being recorded.,Neutral,0.9384378790855408,-0.019006093963980675,neutral,Today
Suhasini Chandramouli,"Director, Investor Relations","Speaking first today are Apple CEO, Tim Cook, and he will be followed by CFO, Kevan Parekh.",Neutral,0.9341868162155151,-0.02136888913810253,neutral,"today, Apple, CFO"
Suhasini Chandramouli,"Director, Investor Relations","After that, we'll open the call to questions from analysts.",Neutral,0.9114649295806885,0.056613460183143616,neutral,No Strategic Focus Areas
Suhasini Chandramouli,"Director, Investor Relations","Please note that some of the information you'll hear during our discussion today will consist of forward-looking statements, including, without limitation, those regarding revenue, gross margin, operating expenses, other income and expense, taxes, capital allocation, and future business outlook, including the potential impact of macroeconomic conditions on the company's business and results of operations.",Neutral,0.9410457611083984,0.003183063119649887,neutral,today
Suhasini Chandramouli,"Director, Investor Relations",These statements involve risks and uncertainties that may cause actual results or trends to differ materially from our forecast.,Negative,0.8210732936859131,-0.7934350967407227,neutral,No Strategic Focus Areas
Suhasini Chandramouli,"Director, Investor Relations","For more information, please refer to the risk factors discussed in Apple's most recently filed annual report on Form 10-K and the Form 8-K filed with the SEC today along with the associated press release.",Neutral,0.9487431645393372,0.004557320848107338,neutral,"Apple, annual, SEC, today"
Suhasini Chandramouli,"Director, Investor Relations","Apple assumes no obligation to update any forward-looking statements, which speak only as of the date they are made.",Neutral,0.9321234822273254,-0.035322390496730804,neutral,Apple
Suhasini Chandramouli,"Director, Investor Relations",I'd now like to turn the call over to Tim for introductory remarks.,Neutral,0.9216513633728027,0.05435147508978844,neutral,No Strategic Focus Areas
Tim Cook,Chief Executive Officer,Before I talk about our results I'd like to take a moment to acknowledge the devastating wildfires that impacted the Los Angeles area this month.,Neutral,0.8792853355407715,0.0005033276975154877,sadness,"Los Angeles, month"
Tim Cook,Chief Executive Officer,"From our retail teams to Apple TV+, Apple Music, Fitness Plus, Beats and more LA is home to many of our team members.",Neutral,0.893802285194397,0.08599057793617249,neutral,"Apple, Apple Music, Fitness Plus, LA"
Tim Cook,Chief Executive Officer,Our thoughts are with everyone who is beginning the road to recovery.,Neutral,0.700335681438446,0.2786213755607605,neutral,No Strategic Focus Areas
Tim Cook,Chief Executive Officer,"For our part, we are contributing to the relief efforts and we will continue to support our teams and the local community.",Positive,0.8398562073707581,0.8301590085029602,joy,No Strategic Focus Areas
Tim Cook,Chief Executive Officer,"Today, Apple is reporting revenue of $124.3 billion for the December quarter, up 4% from a year ago, and an all-time record.",Positive,0.952262282371521,0.9289494156837463,surprise,"Today, Apple, $124.3 billion, December quarter, 4%, year ago"
Tim Cook,Chief Executive Officer,"EPS also set an all-time record of $2.40, 10% higher year-over-year.",Positive,0.9371272921562195,0.918937087059021,neutral,"EPS, 2.40, 10%, year--year"
Tim Cook,Chief Executive Officer,"We achieved all-time revenue records across the majority of the countries and regions we track, including the Americas, Europe, Japan, and the rest of Asia Pacific.",Positive,0.9122514128684998,0.9010846614837646,neutral,Japan
Tim Cook,Chief Executive Officer,"We also continue to see momentum in emerging markets, setting all-time revenue records in a number of markets, including Latin America, the Middle East, and South Asia, among others.",Positive,0.9434494376182556,0.9309224486351013,neutral,No Strategic Focus Areas
Tim Cook,Chief Executive Officer,"In services, we achieved an all-time revenue record, and in the past year, we've seen nearly $100 billion in revenue from our services business.",Positive,0.9235771894454956,0.9116277694702148,joy,"past year, nearly $100 billion"
Tim Cook,Chief Executive Officer,I'm also pleased to announce that we reached a new record for our installed base with over 2.35 billion active devices.,Positive,0.914815366268158,0.9053938984870911,joy,2.35 billion
Tim Cook,Chief Executive Officer,"In October, we released the first set of Apple Intelligence features in U.S. English for iPhone, iPad, and Mac, and we rolled out more features and expanded to more countries in December.",Neutral,0.7471326589584351,0.2342042326927185,neutral,"October, Apple Intelligence, U.., iPhone, iPad, December"
Tim Cook,Chief Executive Officer,Now users can discover the benefits of these new features in the things they do every day.,Neutral,0.8475031852722168,0.1328437626361847,neutral,No Strategic Focus Areas
Tim Cook,Chief Executive Officer,"They can use writing tools to help find just the right words, create fun and unique images with Image Playground and Genmoji, handle daily tasks and seek out information with a more natural and conversational Siri, create movies of their memories with a simple prompt, and touch up their photos with clean up.",Neutral,0.9273200035095215,0.037849463522434235,neutral,No Strategic Focus Areas
Tim Cook,Chief Executive Officer,We introduced visual intelligence with camera control to help users instantly learn about their surroundings.,Neutral,0.8682335019111633,0.1072225570678711,neutral,No Strategic Focus Areas
Tim Cook,Chief Executive Officer,"Users can also seamlessly access chat GPT across iOS, iPadOS and MacOS.",Neutral,0.8463534116744995,0.13648176193237305,neutral,GPT
Tim Cook,Chief Executive Officer,"And we were excited to recently begin our international expansion with Apple Intelligence now available in Australia, Canada, New Zealand, South Africa, and the U.K. We're working hard to take Apple Intelligence even further.",Positive,0.8547508120536804,0.8465578556060791,joy,"Apple Intelligence, Australia, Canada, New Zealand, South Africa, U.K., Apple Intelligence"
Tim Cook,Chief Executive Officer,"In April, we're bringing Apple Intelligence to more languages, including French, German, Italian, Portuguese, Spanish, Japanese, Korean, and simplified Chinese, as well as localized English to Singapore and India.",Neutral,0.6638737916946411,0.3173396587371826,neutral,"April, Apple Intelligence, Singapore, India"
Tim Cook,Chief Executive Officer,"And we'll continue to roll out more features in the future, including an even more capable Siri.",Positive,0.8322275876998901,0.8251086473464966,neutral,No Strategic Focus Areas
Tim Cook,Chief Executive Officer,Apple Intelligence builds on years of innovations we've made across hardware and software to transform how users experience our products.,Neutral,0.5370316505432129,0.4451676905155182,neutral,"Apple Intelligence, years"
Tim Cook,Chief Executive Officer,Apple Intelligence also empowers users by delivering personal context that's relevant to them.,Neutral,0.7282871603965759,0.2556181252002716,neutral,Apple Intelligence
Tim Cook,Chief Executive Officer,"And importantly, Apple Intelligence is a breakthrough for privacy and AI with innovations like Private Cloud Compute, which extends the industry-leading security and privacy of Apple devices into the cloud.",Positive,0.604469358921051,0.5936355590820312,neutral,"Apple Intelligence, Private Cloud Compute, Apple"
Tim Cook,Chief Executive Officer,"Apple Intelligence opens up an exciting new frontier and is already elevating experiences across iPhone, iPad, and Mac.",Positive,0.800020694732666,0.7908077239990234,neutral,"Apple Intelligence, iPhone, iPad"
Tim Cook,Chief Executive Officer,We're going to keep investing in innovation and in transformative tools that help users in their everyday lives.,Neutral,0.6387559175491333,0.3416544795036316,neutral,No Strategic Focus Areas
Tim Cook,Chief Executive Officer,"Let me now turn to our results for the quarter, starting with iPhone.",Neutral,0.9195507168769836,0.025300730019807816,neutral,"quarter, iPhone"
Tim Cook,Chief Executive Officer,"iPhone revenue came in at $69.1 billion, reaching all-time iPhone revenue records in dozens of markets and regions.",Positive,0.8622271418571472,0.8429855108261108,neutral,"iPhone, $69.1 billion, iPhone, dozens"
Tim Cook,Chief Executive Officer,"Our iPhone 16 lineup takes the smartphone experience to the next level in so many ways, and Apple Intelligence is one of many reasons why customers are excited.",Neutral,0.6041494607925415,0.37073051929473877,joy,"iPhone 16, Apple Intelligence, one"
Tim Cook,Chief Executive Officer,"With the A18 powered iPhone 16 and iPhone 16 Plus, users are getting a big boost in battery life and incredible camera experiences with camera control.",Positive,0.8557108640670776,0.8457934856414795,neutral,"A18, 16, iPhone 16 Plus"
Tim Cook,Chief Executive Officer,Our amazingly powerful iPhone 16 Pro models go even further with larger-than-ever displays and a pro camera system so advanced it can turn moments into masterpieces.,Positive,0.6073316335678101,0.5958419442176819,neutral,16
Tim Cook,Chief Executive Officer,"In Mac, revenue was $9 billion for the December quarter, 16% higher year-over-year, driven by significant excitement around the world for our latest Mac lineup.",Positive,0.9582881331443787,0.9366044998168945,joy,"$9 billion, December quarter, 16%, year--year"
Tim Cook,Chief Executive Officer,The Mac is more than just a powerful tool.,Neutral,0.8762637972831726,0.10012752562761307,neutral,No Strategic Focus Areas
Tim Cook,Chief Executive Officer,It's a launchpad to enable users to bring their best ideas and boldest creations to life.,Neutral,0.8140670657157898,0.16849283874034882,neutral,No Strategic Focus Areas
Tim Cook,Chief Executive Officer,"And there are so many reasons to choose Mac, from the breathtaking performance of the M4 family of chips to the groundbreaking and growing capabilities of Apple Intelligence.",Neutral,0.7047975659370422,0.27659597992897034,neutral,"M4, Apple Intelligence"
Tim Cook,Chief Executive Officer,"Every product in the Mac lineup offers something extraordinary, whether that's the super portable MacBook Air, the powerhouse MacBook Pro, the world's best all-in-one iMac, or the small wonder that is the Mac Mini, which is not only stunningly capable, but is our first carbon neutral Mac.",Neutral,0.779574453830719,0.19831238687038422,surprise,"MacBook Air, MacBook Pro, one, iMac, Mac Mini"
Tim Cook,Chief Executive Officer,All of this is enabled by the unparalleled power of Apple Silicon.,Neutral,0.8181716799736023,0.16607317328453064,neutral,Apple Silicon
Tim Cook,Chief Executive Officer,"iPad revenue was $8.1 billion, up 15% from a year ago, driven by strong interest for our latest products.",Positive,0.9578297734260559,0.9385048747062683,joy,"iPad, $8.1 billion, 15%, year ago"
Tim Cook,Chief Executive Officer,"We love hearing from customers, who are discovering for the first time the versatility of iPad from the ultra-portal iPad Mini, built from the ground up for Apple intelligence, to the powerful M4 iPad Pro in a stunningly thin and light design.",Neutral,0.670487105846405,0.3117550313472748,joy,"iPad, iPad Mini, Apple, M4 iPad Pro"
Tim Cook,Chief Executive Officer,iPad is there for our users whenever they need it and wherever they go and we are pleased to see so much excitement and enthusiasm for our lineup.,Positive,0.7113211750984192,0.70111483335495,joy,iPad
Tim Cook,Chief Executive Officer,Wearables home and accessories revenue came in at $11.7 billion.,Neutral,0.8395788073539734,0.10744373500347137,neutral,$11.7 billion
Tim Cook,Chief Executive Officer,"With its most advanced display yet and a thinner more comfortable design, the all-new Apple Watch Series 10 is the perfect companion to help users pursue their health and fitness goals this year.",Positive,0.6770895719528198,0.6670381426811218,neutral,"Apple Watch Series 10, year"
Tim Cook,Chief Executive Officer,"From the powerful Vitals app to more customizable activity rings, users have an ever-increasing set of innovative health tools at their fingertips and watchOS 11.",Neutral,0.8181509971618652,0.16288554668426514,neutral,11
Tim Cook,Chief Executive Officer,"Health innovation has long been a focus for us, and we're committed to continuing to advance this work, because we know how much it matters to our users.",Neutral,0.5392919182777405,0.44057953357696533,neutral,No Strategic Focus Areas
Tim Cook,Chief Executive Officer,"We've introduced new hearing health features on AirPods Pro 2, and new sleep apnea notifications on Apple Watch are also helping users learn of a potentially serious condition that's thought to affect up to a billion people worldwide.",Positive,0.6169901490211487,0.6030035614967346,neutral,"AirPods Pro 2, Apple Watch, billion"
Tim Cook,Chief Executive Officer,"During the quarter, we also brought Apple Vision Pro to even more countries, enabling more customers to discover the magic of spatial computing.",Positive,0.8389289379119873,0.8310161828994751,neutral,"quarter, Apple Vision Pro"
Tim Cook,Chief Executive Officer,Users are enjoying incredible immersive entertainment experiences and powerful new features and enhancements to Mac virtual display.,Positive,0.697488009929657,0.6863784790039062,joy,No Strategic Focus Areas
Tim Cook,Chief Executive Officer,Vision Pro is also supercharging the creative process and the incredibly talented director John M. Chu recently shared how its extraordinary capabilities helped him bring the movie Wicked to life.,Neutral,0.5923290848731995,0.3864026963710785,joy,Vision Pro
Tim Cook,Chief Executive Officer,"Turning to services, we set an all-time revenue record of $26.3 billion for the December quarter, growing 14% from a year ago.",Positive,0.9496374130249023,0.9284504055976868,surprise,"$26.3 billion, December quarter, 14%, year ago"
Tim Cook,Chief Executive Officer,"We set all-time records in the Americas, Europe, and rest of Asia-Pacific, and a December quarter record in Japan.",Positive,0.808497428894043,0.796019971370697,neutral,"December quarter, Japan"
Tim Cook,Chief Executive Officer,"Five years since launch, Apple TV+ continues to be home to incredible storytelling that viewers love.",Neutral,0.6167982816696167,0.3603486120700836,neutral,"Five years, Apple"
Tim Cook,Chief Executive Officer,"There's nothing quite like the anticipation that comes when a fan favorite returns, and we were thrilled to debut the second season of Severance earlier this month.",Neutral,0.7550971508026123,0.20731624960899353,joy,"second season Severance, earlier month"
Tim Cook,Chief Executive Officer,We have so much in store for our subscribers this year with new shows like The Studio and Your Friends and Neighbors.,Neutral,0.6699172854423523,0.307243287563324,joy,"year, Studio Friends Neighbors"
Tim Cook,Chief Executive Officer,"And we can't wait for the premiere of Formula 1 starring Brad Pitt on June 27, which will take viewers inside the sport in a truly unprecedented way.",Neutral,0.7248716950416565,0.254198282957077,joy,June 27
Tim Cook,Chief Executive Officer,We're excited that Apple TV+ continues to draw attention and accolades.,Positive,0.9170364141464233,0.9065912961959839,joy,Apple
Tim Cook,Chief Executive Officer,"To-date, Apple TV+ productions have earned more than 2,500 nominations and 538 wins.",Positive,0.6644642353057861,0.6484280228614807,neutral,"Apple, 2,500, 538"
Tim Cook,Chief Executive Officer,"During the quarter, we were also excited to launch a new Find My Service that can help our users when they lose their luggage.",Positive,0.5474551916122437,0.5296870470046997,joy,"quarter, Find Service"
Tim Cook,Chief Executive Officer,"For the first time, if you put an air tag in your suitcase, you'll be able to share its location information with many major airlines, so they can quickly track down your bags if they get lost.",Neutral,0.8753083944320679,0.09768256545066833,neutral,No Strategic Focus Areas
Tim Cook,Chief Executive Officer,"Turning to retail, our teams went above and beyond to help customers find the perfect gift throughout the holiday season.",Neutral,0.58797687292099,0.38462647795677185,neutral,holiday season
Tim Cook,Chief Executive Officer,"We also celebrated openings of new stores in China, Spain, and the U.S. and we were excited to announce plans to connect with even more customers this year by adding a fifth store in the UAE and bringing our online store to Saudi Arabia this summer.",Positive,0.8344927430152893,0.824966311454773,joy,"China, Spain, U.., year, UAE, Saudi Arabia, summer"
Tim Cook,Chief Executive Officer,We can't wait to welcome customers to the first of several flagship store locations in Saudi Arabia that were opening beginning in 2026.,Positive,0.7738730907440186,0.7636509537696838,joy,"Saudi Arabia, 2026"
Tim Cook,Chief Executive Officer,"I just had the chance to visit both countries last month, and I had a great time meeting with customers and team members.",Positive,0.7019699811935425,0.6886540651321411,joy,last month
Tim Cook,Chief Executive Officer,There's an incredible energy and passion for technology in these growing markets.,Neutral,0.7449039816856384,0.23388579487800598,neutral,No Strategic Focus Areas
Tim Cook,Chief Executive Officer,"Every day, I get deeply moving notes about the many ways our technology is enriching our users' lives.",Neutral,0.8885359168052673,0.07898290455341339,neutral,Every day
Tim Cook,Chief Executive Officer,I recently got a note from a customer who put his watch on his father's wrist when he feared something was wrong with him.,Negative,0.759914219379425,-0.7332109808921814,fear,No Strategic Focus Areas
Tim Cook,Chief Executive Officer,The watch alerted them that the father was an AFib and they were able to get him to the hospital for potentially life-saving treatment.,Positive,0.7383485436439514,0.6360552906990051,neutral,No Strategic Focus Areas
Tim Cook,Chief Executive Officer,Another user put his new watch on for the first time and within 15 minutes was notified of a low heart rate that led to a necessary pacemaker.,Neutral,0.5462610721588135,-0.012586712837219238,neutral,No Strategic Focus Areas
Tim Cook,Chief Executive Officer,"And there are so many touching notes around the profound impact of our new hearing health feature like a recent user who told me it had changed her life, allowing her to take part in conversations with her children and grandchildren.",Neutral,0.8625287413597107,0.1077980250120163,neutral,No Strategic Focus Areas
Tim Cook,Chief Executive Officer,"These are the kind of stories that remind us of how profoundly important our work is, and it drives us to innovate each and every day.",Neutral,0.8554179072380066,0.1200898066163063,neutral,every day
Tim Cook,Chief Executive Officer,"At Apple, the future is full of promise and potential.",Neutral,0.6948029398918152,0.2806696593761444,neutral,Apple
Tim Cook,Chief Executive Officer,"We're always searching across a world of possibilities, finding those places where we can do the most good and putting all of our energy and ingenuity into making something special.",Neutral,0.8222610950469971,0.15454189479351044,neutral,No Strategic Focus Areas
Kevan Parekh,Chief Financial Officer,I'm going to cover the results for the first quarter of our fiscal year.,Neutral,0.9003353118896484,0.06308469921350479,neutral,first quarter fiscal year
Kevan Parekh,Chief Financial Officer,"We are very pleased to report an all-time high for revenue with December quarter revenue of $124.3 billion, up 4% year-over-year.",Positive,0.9528971314430237,0.9333388805389404,joy,"December quarter, $124.3 billion, 4%"
Kevan Parekh,Chief Financial Officer,"We achieved all-time revenue records in the Americas, Europe, Japan, and rest of Asia Pacific and grew in the vast majority of markets we track.",Positive,0.921364963054657,0.9120181798934937,neutral,Japan
Kevan Parekh,Chief Financial Officer,"Products revenue was $98 billion, up 2% year-over-year, driven by growth from iPad and Mac.",Positive,0.9563800096511841,0.939416766166687,neutral,"$98 billion, 2%, iPad"
Kevan Parekh,Chief Financial Officer,"Thanks to our incredible customer satisfaction and strong loyalty, our installed base of active devices reached an all-time high across all products and geographic segments and is now over 2.35 billion active devices.",Positive,0.8398244380950928,0.8319146037101746,neutral,2.35 billion
Kevan Parekh,Chief Financial Officer,"Services revenue reached an all-time record of $26.3 billion, up 14% year-over-year.",Positive,0.9531133770942688,0.9325023293495178,neutral,"$26.3 billion, 14%"
Kevan Parekh,Chief Financial Officer,We grew in every geographic segment and achieved all-time records in both developed and emerging markets.,Positive,0.8464134931564331,0.8373798131942749,neutral,No Strategic Focus Areas
Kevan Parekh,Chief Financial Officer,"Company gross margin was 46.9% at the high-end of our guidance range and up 70 basis points sequentially, primarily driven by favorable mix.",Positive,0.9537162780761719,0.9345420002937317,neutral,"46.9%, 70"
Kevan Parekh,Chief Financial Officer,"Products gross margin was 39.3%, up 300 basis points sequentially, primarily driven by favorable mix and leverage.",Positive,0.9564217925071716,0.9371798634529114,neutral,"39.3%, 300"
Kevan Parekh,Chief Financial Officer,"Services gross margin was 75%, up 100 basis points sequentially, primarily driven by mix.",Positive,0.9555982351303101,0.9376659393310547,neutral,"75%, 100"
Kevan Parekh,Chief Financial Officer,Operating expenses of $15.4 billion landed at the midpoint of our guidance range and up 7% year-over-year.,Positive,0.9394453167915344,0.8993980288505554,neutral,"$15.4 billion, 7%"
Kevan Parekh,Chief Financial Officer,"This strong business performance resulted in all-time records for both net income at $36.3 billion and diluted earnings per share of $2.40, up 10% year-over-year.",Positive,0.9544021487236023,0.9314099550247192,neutral,"$36.3 billion, 2.40, 10%"
Kevan Parekh,Chief Financial Officer,"Operating cash flow was also strong at $29.9 billion, which included the impact of the $11.9 billion we paid during the quarter in connection with the state aid decision.",Positive,0.9441919326782227,0.9059650301933289,neutral,"$29.9 billion, $11.9 billion, quarter"
Kevan Parekh,Chief Financial Officer,"Now, I'm going to provide some more details for each of our revenue categories.",Neutral,0.9372944235801697,0.0345127247273922,neutral,No Strategic Focus Areas
Kevan Parekh,Chief Financial Officer,"iPhone revenue was $69.1 billion, roughly flat to the prior year.",Negative,0.839942216873169,-0.754108726978302,neutral,"iPhone, $69.1 billion, prior year"
Kevan Parekh,Chief Financial Officer,"We grew in the majority of markets we track and reached all-time revenue records in several developed markets, including Canada, Western Europe, and Japan and in emerging markets like Latin America, the Middle East, and South Asia.",Positive,0.8980184197425842,0.8884468674659729,neutral,"Canada, Japan"
Kevan Parekh,Chief Financial Officer,The iPhone Active installed base grew to an all-time high in total in an average geographic segment.,Positive,0.9483681917190552,0.9348655939102173,neutral,iPhone Active
Kevan Parekh,Chief Financial Officer,We also set an all-time record for upgraders.,Positive,0.8419329524040222,0.8326981067657471,neutral,No Strategic Focus Areas
Kevan Parekh,Chief Financial Officer,"According to a recent survey from Kantar during the December quarter, iPhone was a top-selling model in the U.S., Urban China, India, the U.K., France, Australia, and Japan.",Positive,0.8890972137451172,0.8761312961578369,neutral,"Kantar, December quarter, iPhone, U.., China, India, U.K., France, Australia, Japan"
Kevan Parekh,Chief Financial Officer,We continue to see high levels of customer satisfaction in the U.S. at 96% as measured by 451 research.,Positive,0.927593469619751,0.9150022864341736,neutral,"U.., 96%, 451"
Kevan Parekh,Chief Financial Officer,"Mac generated $9 billion in revenue, up 16% year-over-year.",Positive,0.9541512727737427,0.9362722635269165,joy,"$9 billion, 16%"
Kevan Parekh,Chief Financial Officer,We saw strength across our lineup from the new Mac Mini to the latest MacBook Air and MacBook Pro models.,Positive,0.9458684325218201,0.9326897859573364,neutral,"Mac Mini, MacBook Air, MacBook Pro"
Kevan Parekh,Chief Financial Officer,This incredible performance was broad-based with double-digit growth in every geographic segment.,Positive,0.8938973546028137,0.8839472532272339,surprise,No Strategic Focus Areas
Kevan Parekh,Chief Financial Officer,"With our latest advances in Apple Silicon and our fastest neural engine ever, customers are able to take advantage of the full capabilities of AI and Mac.",Positive,0.6162568926811218,0.6065593957901001,neutral,Apple Silicon
Kevan Parekh,Chief Financial Officer,The Mac installed base reached an all-time high and we saw a double-digit growth for both upgraders and customers new to the Mac.,Positive,0.9535204768180847,0.9362853169441223,neutral,No Strategic Focus Areas
Kevan Parekh,Chief Financial Officer,"Additionally, customer satisfaction in the U.S. was recently measured at 94%.",Positive,0.565360426902771,0.5301388502120972,neutral,"U.., 94%"
